check_name,column,year,invalid_count,total_count,invalid_pct
time_range,DepTime,1993,0,5070501,0.0
time_range,ArrTime,1993,0,5070501,0.0
time_range,CRSDepTime,1993,0,5070501,0.0
time_range,CRSArrTime,1993,0,5070501,0.0
distance_positive,Distance,1993,0,5070501,0.0
month_range,Month,1993,0,5070501,0.0
day_range,DayofMonth,1993,0,5070501,0.0
dow_range,DayOfWeek,1993,0,5070501,0.0
extreme_delay,ArrDelay,1993,0,5070501,0.0
extreme_delay,DepDelay,1993,0,5070501,0.0
time_range,DepTime,2003,571,6488540,0.01
time_range,ArrTime,2003,3785,6488540,0.06
time_range,CRSDepTime,2003,0,6488540,0.0
time_range,CRSArrTime,2003,0,6488540,0.0
distance_positive,Distance,2003,0,6488540,0.0
month_range,Month,2003,0,6488540,0.0
day_range,DayofMonth,2003,0,6488540,0.0
dow_range,DayOfWeek,2003,0,6488540,0.0
extreme_delay,ArrDelay,2003,6,6488540,0.0
extreme_delay,DepDelay,2003,4,6488540,0.0
