column,quarter,total_rows,missing_count,missing_pct
TailNum,Q1,1611657,0,0.0
TailNum,Q2,1597581,0,0.0
TailNum,Q3,1643266,0,0.0
TailNum,Q4,1636036,0,0.0
AirTime,Q1,1611657,40871,2.54
AirTime,Q2,1597581,17190,1.08
AirTime,Q3,1643266,28128,1.71
AirTime,Q4,1636036,26661,1.63
TaxiIn,Q1,1611657,0,0.0
TaxiIn,Q2,1597581,0,0.0
TaxiIn,Q3,1643266,0,0.0
TaxiIn,Q4,1636036,0,0.0
TaxiOut,Q1,1611657,0,0.0
TaxiOut,Q2,1597581,0,0.0
TaxiOut,Q3,1643266,0,0.0
TaxiOut,Q4,1636036,0,0.0
CancellationCode,Q1,1611657,1611657,100.0
CancellationCode,Q2,1597581,1061085,66.42
CancellationCode,Q3,1643266,0,0.0
CancellationCode,Q4,1636036,0,0.0
CarrierDelay,Q1,1611657,1611657,100.0
CarrierDelay,Q2,1597581,1061085,66.42
CarrierDelay,Q3,1643266,0,0.0
CarrierDelay,Q4,1636036,0,0.0
WeatherDelay,Q1,1611657,1611657,100.0
WeatherDelay,Q2,1597581,1061085,66.42
WeatherDelay,Q3,1643266,0,0.0
WeatherDelay,Q4,1636036,0,0.0
NASDelay,Q1,1611657,1611657,100.0
NASDelay,Q2,1597581,1061085,66.42
NASDelay,Q3,1643266,0,0.0
NASDelay,Q4,1636036,0,0.0
SecurityDelay,Q1,1611657,1611657,100.0
SecurityDelay,Q2,1597581,1061085,66.42
SecurityDelay,Q3,1643266,0,0.0
SecurityDelay,Q4,1636036,0,0.0
LateAircraftDelay,Q1,1611657,1611657,100.0
LateAircraftDelay,Q2,1597581,1061085,66.42
LateAircraftDelay,Q3,1643266,0,0.0
LateAircraftDelay,Q4,1636036,0,0.0
