,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
Year,6331131.0,2003.0,0.0,2003.0,2003.0,2003.0,2003.0,2003.0,0,0.0
Month,6331131.0,6.530191051172373,3.4460223904579763,1.0,4.0,7.0,10.0,12.0,0,0.0
DayOfWeek,6331131.0,3.9341231448219913,1.9879304774008384,1.0,2.0,4.0,6.0,7.0,0,0.0
ontime15,6331131.0,0.8478644652906409,0.35915224371015175,0.0,1.0,1.0,1.0,1.0,0,0.0
CRSDepTime,6331131.0,1339.2955851016193,457.25032099077845,4.0,935.0,1325.0,1723.0,2400.0,0,0.0
dep_hour_raw,6331131.0,13.129460597166604,4.569510934898525,0.0,9.0,13.0,17.0,24.0,0,0.0
Distance,6331131.0,713.420859243001,565.0217327716564,12.0,304.0,550.0,948.0,4962.0,0,0.0
CRSElapsedTime,6331131.0,123.9696899337575,68.80881655552125,-32.0,74.0,105.0,155.0,660.0,0,0.0
origin_hourly_volume,6331131.0,107.83702264255786,99.81294072167317,1.0,32.0,76.0,155.0,558.0,0,0.0
dest_hourly_volume,6331131.0,104.93250716183253,99.75657880496804,1.0,30.0,73.0,144.0,503.0,0,0.0
UniqueCarrier_freq,6331131.0,0.8513669700649241,0.03443732529299272,0.5,0.8386422294096507,0.8523344679442434,0.873766947039796,0.9150541816003279,0,0.0
Origin_freq,6331131.0,0.8517320834928068,0.04061759439756491,0.0,0.8211335306010417,0.852979812468858,0.8816483673178384,0.9817351598173516,0,0.0
Dest_freq,6331131.0,0.8516657882541805,0.0353752444522812,0.5,0.8258551107155462,0.8532468834597774,0.8743772687445237,0.9823455233291298,0,0.0
route_freq,6331131.0,0.8510083328448382,0.05827570647771725,0.0,0.8160588611644274,0.8544159544159544,0.8925373134328358,1.0,0,0.0
dep_hour_bin_freq,6331131.0,0.8518155010098077,0.03942128036997581,0.806934648020241,0.806934648020241,0.8605416623396853,0.8900430857335622,0.9269939535853474,0,0.0
distance_bin_freq,6331131.0,0.8517465789152925,0.006556593380672774,0.8433204018700885,0.8446571806532625,0.8500333319728447,0.8586340483208663,0.8586340483208663,0,0.0
