year,baseline_type,roc_auc,pr_auc,accuracy,description,brier_score,threshold,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,model
1993,always_ontime,0.5,0.8327057038527413,0.8327057038527413,Always predict on-time (probability = 1.0),,,,,,,,,,
1993,majority_class,0.5,0.8327057038527413,0.8327057038527413,Always predict majority class (on-time rate = 0.833),,,,,,,,,,
1993,random,0.5002404779560049,0.8329234993008134,0.5002755348392687,Random predictions (AUC ≈ 0.5),,,,,,,,,,
1993,,0.6366678915818891,0.8916100729653207,,,0.13963288391165918,0.5,1033470.0,711.0,207242.0,1614.0,0.8329652651058425,0.9984407062615208,0.9082272752039287,logreg
1993,,0.6566277597664512,0.9001992646781575,,,0.13446458538367603,0.5,1031770.0,3035.0,204918.0,3314.0,0.8343009716274437,0.996798327478736,0.9083393932137556,lightgbm
2003,always_ontime,0.5,0.8363098012302914,0.8363098012302914,Always predict on-time (probability = 1.0),,,,,,,,,,
2003,majority_class,0.5,0.8363098012302914,0.8363098012302914,Always predict majority class (on-time rate = 0.836),,,,,,,,,,
2003,random,0.5001687219747173,0.8361983957141395,0.5000866446499588,Random predictions (AUC ≈ 0.5),,,,,,,,,,
2003,,0.61180640222964,0.8834892928188124,,,0.13600830024448438,0.5,1328827.0,1305.0,260351.0,8000.0,0.8361725369971142,0.9940156804133968,0.908287579823001,logreg
2003,,0.6302784892352327,0.8910516470387415,,,0.13543540295345688,0.5,1330472.0,4275.0,257381.0,6355.0,0.837906279737482,0.9952462061283921,0.9098239807431925,lightgbm
