airport,target_rate_1993,target_rate_2003,shift_absolute,shift_pct
ABE,0.8803526448362721,0.8592345235037246,-0.021118121332547424,-2.3988252271877903
ABI,,0.9186795491143317,,
ABQ,0.8967736299574864,0.905541770057899,0.008768140100412603,0.9777428558897606
ABY,,0.8326271186440678,,
ACK,0.8888888888888888,0.7807486631016043,-0.10814022578728455,-12.165775401069512
ACT,,0.944048066090875,,
ACV,,0.8521380731581659,,
ACY,0.8543956043956044,0.9126984126984127,0.05830280830280832,6.8238656663093975
ADK,,0.7538461538461538,,
ADQ,0.8851351351351351,0.8008982035928144,-0.0842369315423207,-9.51684417424692
AEX,,0.8773103887826641,,
AGS,0.8778714742657749,0.7874606632776567,-0.0904108109881182,-10.29886647857365
AKN,0.8660968660968661,0.8348623853211009,-0.031234480775765183,-3.606349589570256
ALB,0.8672580516263086,0.8256157042211116,-0.04164234740519701,-4.801609777748158
AMA,0.8964898284802553,0.8972920224444987,0.0008021939642434139,0.0894816582139372
ANC,0.86077610448041,0.8447282122627447,-0.016047892217665227,-1.8643515002489772
ANI,0.8571428571428571,,,
ATL,0.735251072419884,0.7915747303200499,0.05632365790016591,7.6604659296574065
ATW,,0.8872832369942196,,
AUS,0.9015159021103736,0.9030760445889918,0.0015601424786182427,0.17305767707103992
AVL,0.9023947750362845,0.8132151029748284,-0.08917967206145616,-9.882556341028275
AVP,0.8604744672295939,0.779874213836478,-0.08060025339311583,-9.366954681713976
AZO,0.9350237717908082,0.8574727812603101,-0.07755099053049808,-8.294012716058354
BDL,0.8703186787625029,0.8558660240375816,-0.014452654724921299,-1.6606164015083968
BET,0.9102564102564102,0.8036363636363636,-0.10662004662004665,-11.713188220230478
BFF,,0.0,,
BFL,0.8526011560693642,0.9298180467879688,0.0772168907186046,9.056625148690573
BGM,0.9017254313578394,0.88125,-0.02047543135783947,-2.2706946755407666
BGR,0.8931451612903226,0.8758782201405152,-0.017266941149807424,-1.933273772077761
BHM,0.871242200794101,0.8783183500793231,0.007076149285222155,0.8121908326723085
BIL,0.867120272163298,0.9241573033707865,0.05703703120748849,6.577753172024463
BIS,0.8814563928873835,0.9526170798898072,0.07116068700242362,8.07308082131242
BMI,,0.7455429497568882,,
BNA,0.8645961207954824,0.8829382499268364,0.018342129131354024,2.1214678958399813
BOI,0.8330213403219768,0.9171370967741935,0.0841157564522167,10.097671257702059
BOS,0.791717218087025,0.8305808630326234,0.03886364494559835,4.908778545893199
BPT,,0.9335443037974683,,
BQK,,0.8158085569253082,,
BQN,0.9112519809825673,0.8424657534246576,-0.06878622755790975,-7.548540798094096
BRO,0.8706467661691543,0.9351415094339622,0.06449474326480797,7.407681940700801
BRW,0.8525,0.8112391930835735,-0.04126080691642653,-4.839977350900472
BTM,0.9347826086956522,0.9153069153069153,-0.019475693388736892,-2.0834462694927836
BTR,0.8625621890547264,0.8310596665288686,-0.031502522525857724,-3.6522030440936715
BTV,0.8334333733493398,0.8118091913903432,-0.021624181958996513,-2.5945903596462507
BUF,0.8664072045979092,0.8499033611464668,-0.0165038434514424,-1.9048599046566872
BUR,0.922555389644457,0.8845265588914549,-0.03802883075300212,-4.122118973003673
BWI,0.8365206902589444,0.8456920867471871,0.009171396488242722,1.0963741357555332
BZN,0.8476426799007444,0.8851385390428211,0.03749585914207676,4.423545443283646
CAE,0.8559696778269109,0.7974502692603583,-0.05851940856655258,-6.836621679767729
CAK,0.8921639108554996,0.7843728263389752,-0.10779108451652442,-12.081982156525823
CDC,,0.9369024856596558,,
CDV,0.8726207906295754,0.8156748911465893,-0.05694589948298612,-6.525847205852268
CEC,,0.8793103448275862,,
CHA,0.8820526598602901,0.8219923788786064,-0.0600602809816837,-6.809149126220736
CHO,,0.8657243816254417,,
CHS,0.8696666666666667,0.8357336672928407,-0.03393299937382599,-3.9018397133567637
CIC,,0.918918918918919,,
CID,0.8767416934619507,0.8113532110091743,-0.0653884824527764,-7.458123976581953
CLD,,0.9288103201146679,,
CLE,0.8607326007326007,0.8486183329170546,-0.012114267815546143,-1.4074368514954878
CLL,,0.92739898989899,,
CLT,0.8583675440714803,0.8237847650430647,-0.034582779028415556,-4.028901053781652
CMH,0.8508612638788005,0.8485536348291718,-0.0023076290496286678,-0.27121096559372504
CMI,,0.7960741548527808,,
COD,0.7432432432432432,0.9118727050183598,0.16862946177511662,22.68832758428842
COS,0.8809545169103795,0.9075924502519429,0.02663793334156339,3.0237580749328625
CPR,0.8730769230769231,0.8932882665379044,0.0202113434609813,2.314955638702704
CRP,0.9260984319205092,0.8669449517349335,-0.05915348018557576,-6.387385848705675
CRW,0.9073375262054507,0.8227920227920228,-0.08454550341342792,-9.317977155315415
CSG,0.8906560636182903,0.850431447746884,-0.040224615871406355,-4.516290576633347
CVG,0.7950495335470641,0.8257858343818548,0.03073630083479073,3.865960488985212
DAB,0.8600944510035419,0.7347288949897048,-0.12536555601383703,-14.57578942261084
DAL,0.9048959192585764,0.8737947971620884,-0.031101122096487965,-3.436983351850075
DAY,0.8786867000556483,0.8029552715654952,-0.07573142849015313,-8.618706586244786
DBQ,,0.8310679611650486,,
DCA,0.8423557961545641,0.8610409762768924,0.018685180122328227,2.218205205879497
DEN,0.7815830935963105,0.867902032607915,0.08631893901160448,11.044115426604712
DET,0.8850276063657031,,,
DFW,0.7872060162836784,0.8465158828185881,0.05930986653490977,7.5342242447416465
DHN,,0.8541430192962542,,
DLG,0.8547297297297297,0.7615384615384615,-0.09319126819126822,-10.90301003344482
DLH,0.9176533907427341,0.9038297872340425,-0.013823603508691606,-1.5064079366069798
DRO,,0.8915343915343915,,
DSM,0.8686567164179104,0.8459328028293546,-0.022723913588555855,-2.615983179438561
DTW,0.855521114608465,0.808456749122282,-0.04706436548618298,-5.50125118860711
DUT,0.7703349282296651,0.6771037181996086,-0.09323121003005652,-12.102685028746468
EFD,,0.9190071848465056,,
EGE,0.7126654064272212,0.8456439393939394,0.13297853296671824,18.659321999839243
EKO,,0.9077289751447055,,
ELM,0.9151014274981217,,,
ELP,0.9120372079288325,0.9134188206785138,0.0013816127496812936,0.15148644569214798
ERI,0.8340486409155937,0.9655172413793104,0.13146860046371667,15.762701839474778
EUG,0.8488779803646563,0.8743523316062176,0.025474351241561277,3.0009438141649225
EVV,0.9138755980861244,0.8280254777070064,-0.08585012037911799,-9.394070763997728
EWR,0.738091955924384,0.7890287444949221,0.05093678857053807,6.901143978292651
EYW,,0.6201550387596899,,
FAI,0.907148308318494,0.8905529953917051,-0.016595312926788952,-1.82939358146964
FAR,0.8978494623655914,0.8964338055691256,-0.001415656796465825,-0.15767195457643324
FAT,0.8768020969855832,0.894665968429715,0.017863871444131818,2.0373892244951537
FAY,0.9561374795417349,0.7996495327102804,-0.1564879468314545,-16.366678451560887
FCA,0.8076448828606658,0.9367502726281353,0.12910538976746944,15.98541543533095
FLL,0.8252785852713178,0.8375071527146656,0.012228567443347771,1.4817502430803435
FLO,,0.8354554358472086,,
FMN,,0.0,,
FNT,0.914651493598862,0.8479824835783547,-0.06666901002050729,-7.289006849831512
FSD,0.8654861229354673,0.8567398119122257,-0.008746311023241637,-1.0105662923371659
FSM,,0.918918918918919,,
FWA,0.899510603588907,0.8195618423322408,-0.07994876125666617,-8.88802877227718
GEG,0.8233103448275862,0.9189511323003575,0.09564078747277127,11.616614326982605
GFK,0.9220014716703459,0.9091940976163451,-0.012807374054000786,-1.3890839057771003
GGG,,0.9563145353455124,,
GJT,0.8432432432432433,0.9058105598301937,0.06256731658695036,7.4198420311447535
GNV,0.885514977431268,0.8215502555366269,-0.06396472189464109,-7.223448899779441
GPT,,0.8144458281444583,,
GRB,0.9274879763226045,0.8834208223972003,-0.04406715392540417,-4.751237218203729
GRR,0.8925078043704474,0.8392583635630794,-0.05324944080736804,-5.966271728562515
