carrier,target_rate_1993,target_rate_2003,shift_absolute,shift_pct
AA,0.8339868671441544,0.8461806261886266,0.012193759044472174,1.4621044437099615
AS,0.8695703646304189,0.8443953602686295,-0.025175004361789433,-2.895108364518518
B6,,0.8635306904984753,,
CO,0.8184877594685616,0.8427296111363293,0.02424185166776771,2.961785486383789
DH,,0.7973539944853805,,
DL,0.7946539542202922,0.8473582811873863,0.05270432696709415,6.632362009550081
EV,,0.7955616465625156,,
FL,,0.8017733906550515,,
HA,,0.9193569131832797,,
HP,0.8743340573911055,0.8439212273577,-0.030412830033405447,-3.478399334477856
MQ,,0.8259409613806432,,
NW,0.886510410388,0.8519832180611843,-0.03452719232681578,-3.8947306114210463
OO,,0.901275238833611,,
TW,0.8520938372432185,,,
TZ,,0.8292085818570284,,
UA,0.8098801550270921,0.8584436899548559,0.048563534927763774,5.996385344957518
US,0.8577701504153517,0.8240473430359417,-0.033722807379409914,-3.9314503265333456
WN,0.9105365817296344,0.8845939656504956,-0.025942616079138725,-2.849156925673291
XE,,0.82818748548218,,
